Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
63.0,-0.00023674964904785156,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
68.0,-0.00023674964904785156,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
32.0,-0.000339508056640625,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
56.0,-0.000339508056640625,20,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
72.0,-0.000339508056640625,30,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
75.0,-0.000339508056640625,40,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
26.0,-0.00032210350036621094,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
26.0,-0.00032210350036621094,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
43.0,-0.00032210350036621094,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
43.0,-0.00032210350036621094,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
60.0,-0.35138583183288574,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
71.0,-0.35138583183288574,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
80.0,-0.35138583183288574,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
83.0,-0.35138583183288574,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
55.0,-0.4614572525024414,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
73.0,-0.4614572525024414,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
82.0,-0.4614572525024414,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
82.0,-0.4614572525024414,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
35.0,-0.24946284294128418,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
35.0,-0.24946284294128418,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
36.0,-0.24946284294128418,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
37.0,-0.24946284294128418,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
62.0,-11.831100940704346,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
76.0,-11.831100940704346,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
79.0,-11.831100940704346,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
80.0,-11.831100940704346,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
50.0,-11.642254829406738,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
72.0,-11.642254829406738,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
73.0,-11.642254829406738,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
75.0,-11.642254829406738,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
31.0,-11.299410343170166,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
31.0,-11.299410343170166,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
35.0,-11.299410343170166,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
36.0,-11.299410343170166,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
58.0,-2.3367762565612793,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
74.0,-2.3367762565612793,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
77.0,-2.3367762565612793,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
80.0,-2.3367762565612793,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
52.0,-2.199216604232788,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
