Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
94.9,-0.08298594951629638,2.7264140062238043,25,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
93.0,-0.09790291786193847,1.7638342073763942,25,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.2,-0.09510846138000488,0.632455532033675,25,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
98.8,-0.08417448997497559,0.6324555320336769,25,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
98.6,-0.08705337047576904,0.516397779494321,25,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
96.0,-0.0818328857421875,0.0,25,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
98.0,-0.0757131576538086,0.0,25,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
95.2,-0.07302277088165283,0.4216370213557849,25,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.0,-0.09681894779205322,0.0,25,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
83.0,-0.07469055652618409,0.0,25,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
81.6,-0.07819514274597168,0.8432740427115691,25,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.3,-0.0791170835494995,0.4830458915396442,25,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
96.1,-0.07042517662048339,0.567646212197548,25,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
94.1,-0.07671678066253662,1.1005049346146105,25,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.2,-0.09409987926483154,0.42163702135578285,25,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
98.7,-0.11700732707977295,0.48304589153964617,25,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
97.6,-0.09351952075958252,1.1737877907772678,25,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
93.2,-0.00012362003326416016,2.347575581554536,30,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
95.2,-0.00015823841094970704,3.190262963734773,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
91.9,-0.00016193389892578126,2.0789954839350235,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.4,-0.012909674644470214,0.5163977794943233,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
98.9,-0.01168825626373291,0.3162277660168413,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
98.3,-0.057276010513305664,0.6749485577105521,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
96.0,-1.2448604345321654,0.0,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.0,-1.2969930648803711,0.0,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
97.0,-1.3274606466293335,0.0,30,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.0,-1.2086919784545898,0.0,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
81.0,-1.1065772771835327,0.0,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.0,-1.2082328796386719,0.0,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.0,-0.5034895896911621,0.0,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
98.0,-0.4931330680847168,0.0,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
96.0,-0.5206626653671265,0.0,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
95.6,-6.476305294036865,1.2649110640673535,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
98.7,-6.458662629127502,0.48304589153964766,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
97.4,-6.491834568977356,1.2649110640673507,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
94.5,-0.0854412317276001,1.509230856356236,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
96.1,-0.08298594951629638,2.558211180579986,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
93.3,-0.09790291786193847,2.496664441476535,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.7,-0.09510846138000488,0.48304589153964506,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
99.0,-0.08417448997497559,0.0,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
99.0,-0.08705337047576904,0.0,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
96.0,-0.0818328857421875,0.0,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
98.2,-0.0757131576538086,0.42163702135578346,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
96.6,-0.07302277088165283,0.6992058987801004,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.0,-0.09681894779205322,0.0,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
83.0,-0.07469055652618409,0.0,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
81.0,-0.07819514274597168,0.0,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.7,-0.0791170835494995,0.48304589153964766,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
96.9,-0.07042517662048339,0.3162277660168401,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
95.4,-0.07671678066253662,0.6992058987801019,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.2,-0.09409987926483154,0.6324555320336738,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
